Part_ID,Timestamp,Shift,Machine_ID,Operator_ID,Thickness_mm,Diameter_mm,Surface_Roughness_um,Runout_mm
BR_0001,2025-06-01 06:02:20.780426993,Morning,CNC_3,OP_02,12.017,299.97,1.04,0.0095
BR_0002,2025-06-01 06:17:23.816856268,Morning,CNC_3,OP_01,11.979,299.69,1.08,0.0066
BR_0003,2025-06-01 06:23:58.840564331,Morning,CNC_4,OP_04,11.947,302.78,1.26,0.0203
BR_0004,2025-06-01 06:28:32.723330463,Morning,CNC_3,OP_02,11.991,300.04,0.85,0.0102
BR_0005,2025-06-01 06:29:32.723330463,Morning,CNC_5,OP_02,12.009,305.62,0.99,0.0151
BR_0006,2025-06-01 06:30:32.723330463,Morning,CNC_3,OP_03,11.894,300.12,1.35,0.0139
BR_0007,2025-06-01 06:31:32.723330463,Morning,CNC_5,OP_02,12.02,305.7,1.72,0.0105
BR_0008,2025-06-01 06:41:36.092589806,Morning,CNC_3,OP_04,12.049,299.85,0.56,0.0047
BR_0009,2025-06-01 06:46:11.817235894,Morning,CNC_5,OP_03,11.982,306.04,0.63,0.0313
BR_0010,2025-06-01 06:52:21.192254405,Morning,CNC_3,OP_03,11.983,300.09,0.73,0.0257
BR_0011,2025-06-01 06:53:21.192254405,Morning,CNC_3,OP_03,11.963,300.16,0.81,0.0135
BR_0012,2025-06-01 07:10:52.259496952,Morning,CNC_2,OP_01,11.992,305.74,1.23,0.0061
BR_0013,2025-06-01 07:19:48.188359958,Morning,CNC_5,OP_03,11.972,305.94,0.63,0.0088
BR_0014,2025-06-01 07:20:59.794647532,Morning,CNC_5,OP_02,12.072,306.22,0.48,0.01
BR_0015,2025-06-01 07:21:59.998344156,Morning,CNC_5,OP_01,12.006,305.94,0.74,0.0097
BR_0016,2025-06-01 07:23:00.781771005,Morning,CNC_1,OP_01,11.893,300.06,1.17,0.0318
BR_0017,2025-06-01 07:24:49.607889843,Morning,CNC_3,OP_01,12.029,300.03,1.06,0.0057
BR_0018,2025-06-01 07:28:32.786239101,Morning,CNC_5,OP_01,12.086,306.26,3.05,0.0259
BR_0019,2025-06-01 07:31:22.447359135,Morning,CNC_1,OP_01,12.026,299.91,1.5,0.0113
BR_0020,2025-06-01 07:33:05.714256901,Morning,CNC_2,OP_01,12.06,305.72,0.91,0.0128
BR_0021,2025-06-01 07:37:49.625519070,Morning,CNC_5,OP_01,12.034,305.81,1.05,0.0159
BR_0022,2025-06-01 07:38:49.625519070,Morning,CNC_5,OP_03,12.05,306.04,0.36,0.0076
BR_0023,2025-06-01 07:40:33.280172670,Morning,CNC_1,OP_04,12.049,299.69,0.74,0.0053
BR_0024,2025-06-01 07:42:50.163338136,Morning,CNC_3,OP_02,12.048,299.89,1.05,0.0126
BR_0025,2025-06-01 07:45:52.843744493,Morning,CNC_2,OP_02,12.016,306.02,1.41,0.0341
BR_0026,2025-06-01 07:53:34.224547802,Morning,CNC_5,OP_03,11.914,305.85,0.86,0.012
BR_0027,2025-06-01 07:54:41.045306440,Morning,CNC_3,OP_03,11.946,300.07,1.08,0.0067
BR_0028,2025-06-01 07:58:17.654052949,Morning,CNC_2,OP_01,11.946,306.14,1.47,0.0247
BR_0029,2025-06-01 08:02:46.905469341,Morning,CNC_4,OP_04,11.874,303.09,0.75,0.0063
BR_0030,2025-06-01 08:03:46.905469341,Morning,CNC_4,OP_01,11.978,302.69,0.71,0.0082
BR_0031,2025-06-01 08:08:27.505375535,Morning,CNC_2,OP_03,12.071,306.02,1.36,0.0124
BR_0032,2025-06-01 08:09:27.505375535,Morning,CNC_1,OP_01,11.93,300.03,0.32,0.0057
BR_0033,2025-06-01 08:10:27.505375535,Morning,CNC_2,OP_02,12.036,305.92,0.99,0.0101
BR_0034,2025-06-01 08:25:19.611713587,Morning,CNC_2,OP_02,12.026,306.06,0.86,0.0202
BR_0035,2025-06-01 08:42:10.800816325,Morning,CNC_1,OP_01,12.014,300.06,1.56,0.0103
BR_0036,2025-06-01 08:50:26.500288168,Morning,CNC_1,OP_04,12.062,299.98,0.84,0.0106
BR_0037,2025-06-01 08:52:15.486646158,Morning,CNC_3,OP_01,11.998,299.8,0.62,0.0033
BR_0038,2025-06-01 08:53:15.486646158,Morning,CNC_3,OP_01,12.076,299.99,0.65,0.0103
BR_0039,2025-06-01 08:59:01.311875087,Morning,CNC_1,OP_04,11.994,300.37,1.18,0.0071
BR_0040,2025-06-01 09:01:55.339127862,Morning,CNC_4,OP_04,12.017,302.92,0.91,0.0079
BR_0041,2025-06-01 09:02:55.339127862,Morning,CNC_4,OP_04,11.993,303.21,0.72,0.0075
BR_0042,2025-06-01 09:06:20.403296302,Morning,CNC_2,OP_02,11.954,306.01,1.16,0.0067
